A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,22499,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,21953,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,21838,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,21730,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,20765,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,20190,100.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23906,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23835,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23821,18.5,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23757,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23746,18.5,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23724,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23689,4.9,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,23263,3.7,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22737,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22736,3.7,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22592,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22559,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22520,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22512,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22411,3.7,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22395,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22278,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22274,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22273,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,22163,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,21957,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,21731,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,21581,4.9,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,21523,3.7,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,21466,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,20885,2.4,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE2,20442,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE1,23905,3.3,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE1,23301,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE1,23254,3.3,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE1,23166,3.3,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE1,23066,25.0,02
